Freq
1.00,4.00,16.00,64.00
MSE
0.29550046,0.30102140,0.29786390,0.27661514,0.28667143,0.27587554,0.29073596,0.30388275,0.28802386
PSNR
5.29441833,5.21402645,5.25982141,5.61612034,5.49902678,5.84523869,5.37856388,5.19098568,5.48564863
